time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446300000	16.6951	4.70111	5.17275	0.731329	0.363756	lidar	0.472005	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8479	4.89747	5.09299	0.779384	0.415576	radar	4.64113	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0128	5.12084	5.11899	0.819271	0.437605	lidar	0.556444	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1821	5.29388	5.08837	0.839419	0.439945	radar	1.77666	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3425	5.47413	5.07139	0.859498	0.438066	lidar	0.227291	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4978	5.64718	5.02631	0.880846	0.443739	radar	3.32194	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6927	5.77015	4.98294	0.86838	0.404245	lidar	1.94251	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8348	5.97017	4.95003	0.903034	0.430258	radar	1.16726	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0102	6.15748	4.96086	0.91468	0.418548	lidar	0.72795	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1587	6.36632	4.97144	0.93955	0.42331	radar	0.659985	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.281	6.60075	4.99066	0.977478	0.442419	lidar	0.498956	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4118	6.81604	4.98628	1.00613	0.453151	radar	0.254132	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5612	6.95333	4.9134	1.00069	0.422113	lidar	2.29984	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
